headshot,SPLASHES_HEADSHOT,SPLASHES_HEADSHOT_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,dummy,splash
assistedsuicide,SPLASHES_ASSISTEDSUICIDE,SPLASHES_ASSISTEDSUICIDE_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
longshot,SPLASHES_LONGSHOT,SPLASHES_LONGSHOT_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
proximitykill,SPLASHES_PROXIMITYKILL,SPLASHES_PROXIMITYKILL_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
proximityassist,SPLASHES_PROXIMITYASSIST,SPLASHES_PROXIMITYASSIST_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
execution,SPLASHES_EXECUTION,SPLASHES_EXECUTION_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
avenger,SPLASHES_AVENGER,SPLASHES_AVENGER_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
defender,SPLASHES_DEFENDER,SPLASHES_DEFENDER_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
posthumous,SPLASHES_POSTHUMOUS,SPLASHES_POSTHUMOUS_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
revenge,SPLASHES_REVENGE,SPLASHES_REVENGE_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
doublekill,SPLASHES_DOUBLEKILL,SPLASHES_DOUBLEKILL_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
triplekill,SPLASHES_TRIPLEKILL,SPLASHES_TRIPLEKILL_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
multikill,SPLASHES_MULTIKILL,SPLASHES_MULTIKILL_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
firstblood,SPLASHES_FIRSTBLOOD,SPLASHES_FIRSTBLOOD_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
buzzkill,SPLASHES_BUZZKILL,SPLASHES_BUZZKILL_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
comeback,SPLASHES_COMEBACK,SPLASHES_COMEBACK_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
killflagcarrier,SPLASHES_KILLED_FLAG_CARRIER,SPLASHES_KILLED_FLAG_CARRIER_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
shield_assist,SPLASHES_SHIELDASSIST,SPLASHES_SHIELDASSIST_DESC,,1.5,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
time_added,SPLASHES_TIME_ADDED,SPLASHES_TIME_ADDED_DESC,,4,1,0.8,0.4,1,mp_splash_screen_default,,splash
muggernaut,SPLASHES_MUGGERNAUT,SPLASHES_MUGGERNAUT_DESC,,3,1,0.4,0.8,1,mugger_muggernaut,,urgent_splash
sr_down,SPLASHES_SR_DOWN,SPLASHES_BLANK,snr_icon_player_down,1.5,0.75,0.25,0.25,1,null,,splash
sr_respawned,SPLASHES_SR_RESPAWNED,SPLASHES_BLANK,snr_icon_player_rescued,1.5,0.75,0.75,0.75,1,mp_bonus_start,,splash
sr_eliminated,SPLASHES_SR_ELIMINATED,SPLASHES_BLANK,snr_icon_player_elim,1.5,0.75,0.25,0.25,1,mp_defcon_down,,splash
sr_ally_down,SPLASHES_SR_ALLY_DOWN,SPLASHES_BLANK,snr_icon_ally_down,1.5,0.75,0.25,0.25,1,null,,splash
sr_ally_respawned,SPLASHES_SR_ALLY_RESPAWNED,SPLASHES_BLANK,snr_icon_ally_rescued,1.5,0.75,0.75,0.75,1,mp_sar_friendly_rescued,,splash
sr_ally_eliminated,SPLASHES_SR_ALLY_ELIMINATED,SPLASHES_BLANK,snr_icon_ally_elim,1.5,0.75,0.25,0.25,1,mp_sar_friendly_eliminated,,splash
sr_enemy_down,SPLASHES_SR_ENEMY_DOWN,SPLASHES_BLANK,snr_icon_enemy_down,1.5,0.75,0.75,0.25,1,null,,splash
sr_enemy_respawned,SPLASHES_SR_ENEMY_RESPAWNED,SPLASHES_BLANK,snr_icon_enemy_rescued,1.5,0.75,0.25,0.25,1,mp_sar_enemy_rescued,,splash
sr_enemy_eliminated,SPLASHES_SR_ENEMY_ELIMINATED,SPLASHES_BLANK,snr_icon_enemy_elim,1.5,0.75,0.75,0.25,1,mp_sar_enemy_eliminated,,splash
earned_unlock,SPLASHES_EARNED_UNLOCK_DESC,SPLASHES_EARNED_UNLOCK_DESC,,4,0.75,0.25,0.25,1,mp_token_earned,,playercard_splash
horde_weapon_level,HORDE_WEAPON_LEVEL,HORDE_WEAPON_LEVEL_DESC,popup_safeguard_levelup,3,0.75,0.25,0.25,1,US_1mc_sgd_prf_inc,,splash
horde_support_drop,HORDE_AIR_DROP,SPLASHES_BLANK,popup_safeguard_support,3,0.75,0.25,0.25,1,US_1mc_sgd_supply_drop,,splash
horde_special_round,HORDE_LOOT_ROUND,HORDE_LOOT_ROUND_DESC,popup_safeguard_loot,3,0.75,0.25,0.25,1,mp_safe_round_loot,,splash
horde_respawn,HORDE_RESPAWN,SPLASHES_BLANK,popup_safeguard_respawn,4,0.75,0.25,0.25,1,null,,splash
horde_team_restock,HORDE_TEAM_RESTOCK,HORDE_TEAM_RESTOCK_DESC,popup_safeguard_maxammo,3,0.75,0.35,0.35,1,US_1mc_sgd_team_restock,,splash
horde_reviver,SPLASHES_REVIVER,HORDE_REVIVER_DESC,popup_safeguard_revived,3,0.75,0.25,0.25,1,mp_splash_screen_default,,splash
