ch_longersprint_pro,OPERATIONS_MARATHON_MASTER,OPERATIONS_DESC_MARATHON_MASTER,CHALLENGE_LEVEL,10,perk_slot_0,,,,2640,4000,10560,5000,21120,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_sleightofhand_pro,OPERATIONS_SLEIGHT_OF_HAND_MASTER,OPERATIONS_DESC_SLEIGHT_OF_HAND_MASTER,CHALLENGE_LEVEL,10,perk_slot_0,,,,50,4000,150,5000,300,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_scavenger_pro,OPERATIONS_SCAVENGER_MASTER,OPERATIONS_DESC_SCAVENGER_MASTER,CHALLENGE_LEVEL,10,perk_slot_0,,,,100,4000,200,5000,400,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_blindeye_pro,OPERATIONS_BLIND_EYE_MASTER,OPERATIONS_DESC_BLIND_EYE_MASTER,CHALLENGE_LEVEL,10,perk_slot_0,,,,20,4000,40,5000,80,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_paint_pro,OPERATIONS_RECON_MASTER,OPERATIONS_DESC_RECON_MASTER,CHALLENGE_LEVEL,10,perk_slot_0,,,,80,4000,160,5000,320,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_hardline_pro,OPERATIONS_HARDLINE_MASTER,OPERATIONS_DESC_HARDLINE_MASTER,CHALLENGE_LEVEL,10,perk_slot_1,,,,75,4000,150,5000,300,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_offthegrid,OPERATIONS_OFF_THE_GRID_MASTER,OPERATIONS_DESC_OFF_THE_GRID_MASTER,CHALLENGE_LEVEL,10,perk_slot_1,,,,100,4000,250,5000,500,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_quickdraw_pro,OPERATIONS_QUICKDRAW_MASTER,OPERATIONS_DESC_QUICKDRAW_MASTER,CHALLENGE_LEVEL,10,perk_slot_1,,,,120,4000,350,5000,500,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_twoprimaries_pro,OPERATIONS_OVERKILL,OPERATIONS_DESC_OVERKILL,CHALLENGE_LEVEL,10,perk_slot_1,,,,120,4000,350,5000,500,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_blastshield_pro,OPERATIONS_BLAST_SHIELD_MASTER,OPERATIONS_DESC_BLAST_SHIELD_MASTER,CHALLENGE_LEVEL,10,perk_slot_1,,,,75,4000,125,5000,250,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_detectexplosives_pro,OPERATIONS_SITREP_MASTER,OPERATIONS_DESC_SITREP_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,50,4000,125,5000,250,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_bulletaccuracy_pro,OPERATIONS_STEADY_AIM_MASTER,OPERATIONS_DESC_STEADY_AIM_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,120,4000,350,5000,500,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_deadsilence_pro,OPERATIONS_DEAD_SILENCE_MASTER,OPERATIONS_DESC_DEAD_SILENCE_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,50,4000,125,5000,200,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_stalker_pro,OPERATIONS_STALKER_MASTER,OPERATIONS_DESC_STALKER_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,120,4000,350,5000,500,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_lightweight,OPERATIONS_LIGHTWEIGHT,OPERATIONS_DESC_LIGHTWEIGHT,CHALLENGE_LEVEL,10,perk_slot_2,,,,120,4000,350,5000,500,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_explosivedamage,OPERATIONS_DANGER_CLOSE_MASTER,OPERATIONS_DESC_DANGER_CLOSE_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,75,4000,250,5000,500,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_deadeye,OPERATIONS_DEADEYE_MASTER,OPERATIONS_DESC_DEADEYE_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,120,4000,350,5000,500,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_extra_attachment,OPERATIONS_EXTRA_ATTACHMENT_MASTER,OPERATIONS_DESC_EXTRA_ATTACHMENT_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,120,4000,350,5000,500,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_extra_deadly,OPERATIONS_EXTRA_LETHAL_MASTER,OPERATIONS_DESC_EXTRA_LETHAL_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,50,4000,150,5000,300,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_sharp_focus,OPERATIONS_FOCUS_MASTER,OPERATIONS_DESC_FOCUS_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,75,4000,250,5000,500,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_gambler,OPERATIONS_GAMBLER_MASTER,OPERATIONS_DESC_GAMBLER_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,75,4000,150,5000,300,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_regenfaster,OPERATIONS_ICU_MASTER,OPERATIONS_DESC_ICU_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,75,4000,150,5000,300,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_onthego,OPERATIONS_ON_THE_GO_MASTER,OPERATIONS_DESC_ON_THE_GO_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,50,4000,150,5000,300,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_boom,OPERATIONS_PING_MASTER,OPERATIONS_DESC_PING_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,50,4000,150,5000,300,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_pitcher,OPERATIONS_STRONG_ARM_MASTER,OPERATIONS_DESC_STRONG_ARM_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,50,4000,150,5000,300,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_silentkill,OPERATIONS_TAKEDOWN_MASTER,OPERATIONS_DESC_TAKEDOWN_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,120,4000,350,5000,500,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_comexp,OPERATIONS_WIRETAP_MASTER,OPERATIONS_DESC_WIRETAP_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,75,4000,150,5000,300,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_quickswap,OPERATIONS_REFLEX_PERK_MASTER,OPERATIONS_DESC_REFLEX_PERK_MASTER,CHALLENGE_LEVEL,10,perk_slot_0,,,,50,4000,150,5000,300,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_extraammo,OPERATIONS_FULLY_LOADED_MASTER,OPERATIONS_DESC_FULLY_LOADED_MASTER,CHALLENGE_LEVEL,10,perk_slot_0,,,,120,4000,350,5000,500,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_incog,OPERATIONS_INCOG_MASTER,OPERATIONS_DESC_INCOG_MASTER,CHALLENGE_LEVEL,10,perk_slot_1,,,,120,4000,350,5000,500,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_stunresistance,OPERATIONS_TAC_RESIST_MASTER,OPERATIONS_DESC_TAC_RESIST_MASTER,CHALLENGE_LEVEL,10,perk_slot_1,,,,50,4000,150,5000,300,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
ch_selectivehearing,OPERATIONS_AMPLIFY_MASTER,OPERATIONS_DESC_AMPLIFY_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,120,4000,350,5000,500,6000,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
