ch_intel_headshots,LUA_MENU_INTEL_HEADSHOT,200,1,0,0,0
ch_intel_kills,LUA_MENU_INTEL_KILLS,200,3,0,0,0
ch_intel_knifekill,LUA_MENU_INTEL_KNIFE_KILL,200,1,1,0,0
ch_intel_explosivekill,LUA_MENU_INTEL_EXPLOSIVE_KILL,200,1,1,0,0
ch_intel_tbag,LUA_MENU_INTEL_TBAG,200,1,1,0,0
ch_intel_crouchkills,LUA_MENU_INTEL_CROUCH_KILLS,200,2,1,0,0
ch_intel_pronekills,LUA_MENU_INTEL_PRONE_KILLS,200,1,1,0,0
ch_intel_backshots,LUA_MENU_INTEL_BACK_KILLS,200,1,1,0,0
ch_intel_jumpshot,LUA_MENU_INTEL_JUMP_SHOT,200,1,1,0,0
ch_intel_secondarykills,LUA_MENU_INTEL_SECONDARY_KILLS,200,1,1,0,0
ch_intel_foundshot,LUA_MENU_INTEL_FOUND_KILL,200,2,1,0,0
ch_team_intel_melee,HORDE_MELEE_INTEL,200,10,1,1,0
ch_team_intel_headshot,HORDE_HEADSHOT_INTEL,200,10,1,1,0
ch_team_intel_killstreak,HORDE_KILLSTREAK_INTEL,200,10,1,1,0
ch_team_intel_equipment,HORDE_EQUIPMENT_INTEL,200,10,1,1,0
ch_intel_jugg_maniac_knife,LUA_MENU_INTEL_JUGG_MANIAC_KNIFE,200,6,1,0,1
ch_intel_jugg_maniac_throwingknife,LUA_MENU_INTEL_JUGG_MANIAC_THROWINGKNIFE,200,4,1,0,1
ch_intel_jugg_maniac_backknife,LUA_MENU_INTEL_JUGG_MANIAC_BACKKNIFE,200,3,1,0,1
ch_intel_jugg_assault_kills,LUA_MENU_INTEL_JUGG_ASSAULT_KILLS,200,7,1,0,1
ch_intel_jugg_recon_shieldkills,LUA_MENU_INTEL_JUGG_RECON_SHIELDKILLS,200,3,1,0,1
ch_intel_jugg_recon_pistolkills,LUA_MENU_INTEL_JUGG_RECON_PISTOLKILLS,200,4,1,0,1
