1,ch_iw6_riotshield
2,ch_iw6_m9a1
3,ch_iw6_p226
4,ch_iw6_mp443
5,ch_iw6_magnum
6,ch_iw6_pdw
7,ch_iw6_kriss
8,ch_iw6_pp19
9,ch_iw6_vepr
10,ch_iw6_microtar
11,ch_iw6_cbjms
12,ch_iw6_k7
13,ch_iw6_dlcweap02
14,ch_iw6_knifeonly
15,ch_iw6_bren
16,ch_iw6_ak12
17,ch_iw6_sc2010
18,ch_iw6_honeybadger
19,ch_iw6_arx160
20,ch_iw6_fads
21,ch_iw6_msbs
22,ch_iw6_r5rgp
23,ch_iw6_dlcweap01
24,ch_iw6_mk32
25,ch_iw6_rgm
26,ch_iw6_panzerfaust3
27,ch_iw6_vks
28,ch_iw6_l115a3
29,ch_iw6_usr
30,ch_iw6_gm6
31,ch_iw6_dlcweap03
32,ch_iw6_imbel
33,ch_iw6_g28
34,ch_iw6_mk14
35,ch_iw6_svu
36,ch_iw6_mts255
37,ch_iw6_fp6
38,ch_iw6_maul
39,ch_iw6_uts15
40,ch_iw6_m27
41,ch_iw6_ameli
42,ch_iw6_kac
43,ch_iw6_lsat
44,ch_iw6_riotshield_crouch
45,ch_iw6_riotshield_assist
46,ch_iw6_riotshield_damage
47,ch_iw6_riotshield_throwingknife
48,ch_iw6_riotshield_c4
49,ch_iw6_riotshield_pistol
50,ch_iw6_riotshield_explosive
51,ch_iw6_riotshield_backsmasher
52,ch_iw6_riotshield_consecutive
53,ch_iw6_riotshield_noperks
54,ch_iw6_riotshield_allcamo
55,ch_iw6_kriss_crouch
56,ch_iw6_kriss_assists
57,ch_iw6_kriss_defender
58,ch_iw6_kriss_noattach
59,ch_iw6_kriss_hipfire
60,ch_iw6_kriss_consecutive
61,ch_iw6_kriss_pointblank
62,ch_iw6_kriss_reload
63,ch_iw6_kriss_sliding
64,ch_iw6_kriss_leaning
65,ch_iw6_kriss_allcamo
66,ch_iw6_pp19_crouch
67,ch_iw6_pp19_assists
68,ch_iw6_pp19_defender
69,ch_iw6_pp19_noattach
70,ch_iw6_pp19_hipfire
71,ch_iw6_pp19_consecutive
72,ch_iw6_pp19_pointblank
73,ch_iw6_pp19_reload
74,ch_iw6_pp19_sliding
75,ch_iw6_pp19_leaning
76,ch_iw6_pp19_allcamo
77,ch_iw6_vepr_crouch
78,ch_iw6_vepr_assists
79,ch_iw6_vepr_defender
80,ch_iw6_vepr_noattach
81,ch_iw6_vepr_hipfire
82,ch_iw6_vepr_consecutive
83,ch_iw6_vepr_pointblank
84,ch_iw6_vepr_reload
85,ch_iw6_vepr_sliding
86,ch_iw6_vepr_leaning
87,ch_iw6_vepr_allcamo
88,ch_iw6_microtar_crouch
89,ch_iw6_microtar_assists
90,ch_iw6_microtar_defender
91,ch_iw6_microtar_noattach
92,ch_iw6_microtar_hipfire
93,ch_iw6_microtar_consecutive
94,ch_iw6_microtar_pointblank
95,ch_iw6_microtar_reload
96,ch_iw6_microtar_sliding
97,ch_iw6_microtar_leaning
98,ch_iw6_microtar_allcamo
99,ch_iw6_cbjms_crouch
100,ch_iw6_cbjms_assists
101,ch_iw6_cbjms_defender
102,ch_iw6_cbjms_noattach
103,ch_iw6_cbjms_hipfire
104,ch_iw6_cbjms_consecutive
105,ch_iw6_cbjms_pointblank
106,ch_iw6_cbjms_reload
107,ch_iw6_cbjms_sliding
108,ch_iw6_cbjms_leaning
109,ch_iw6_cbjms_allcamo
110,ch_iw6_k7_crouch
111,ch_iw6_k7_assists
112,ch_iw6_k7_defender
113,ch_iw6_k7_noattach
114,ch_iw6_k7_hipfire
115,ch_iw6_k7_consecutive
116,ch_iw6_k7_pointblank
117,ch_iw6_k7_reload
118,ch_iw6_k7_sliding
119,ch_iw6_k7_leaning
120,ch_iw6_k7_allcamo
121,ch_iw6_bren_crouch
122,ch_iw6_bren_assists
123,ch_iw6_bren_defender
124,ch_iw6_bren_noattach
125,ch_iw6_bren_longshot
126,ch_iw6_bren_consecutive
127,ch_iw6_bren_pointblank
128,ch_iw6_bren_reload
129,ch_iw6_bren_sliding
130,ch_iw6_bren_leaning
131,ch_iw6_bren_allcamo
132,ch_iw6_ak12_crouch
133,ch_iw6_ak12_assists
134,ch_iw6_ak12_defender
135,ch_iw6_ak12_noattach
136,ch_iw6_ak12_longshot
137,ch_iw6_ak12_consecutive
138,ch_iw6_ak12_pointblank
139,ch_iw6_ak12_reload
140,ch_iw6_ak12_sliding
141,ch_iw6_ak12_leaning
142,ch_iw6_ak12_allcamo
143,ch_iw6_sc2010_crouch
144,ch_iw6_sc2010_assists
145,ch_iw6_sc2010_defender
146,ch_iw6_sc2010_noattach
147,ch_iw6_sc2010_longshot
148,ch_iw6_sc2010_consecutive
149,ch_iw6_sc2010_pointblank
150,ch_iw6_sc2010_reload
151,ch_iw6_sc2010_sliding
152,ch_iw6_sc2010_leaning
153,ch_iw6_sc2010_allcamo
154,ch_iw6_honeybadger_crouch
155,ch_iw6_honeybadger_assists
156,ch_iw6_honeybadger_defender
157,ch_iw6_honeybadger_noattach
158,ch_iw6_honeybadger_longshot
159,ch_iw6_honeybadger_consecutive
160,ch_iw6_honeybadger_pointblank
161,ch_iw6_honeybadger_reload
162,ch_iw6_honeybadger_sliding
163,ch_iw6_honeybadger_leaning
164,ch_iw6_honeybadger_allcamo
165,ch_iw6_arx160_crouch
166,ch_iw6_arx160_assists
167,ch_iw6_arx160_defender
168,ch_iw6_arx160_noattach
169,ch_iw6_arx160_longshot
170,ch_iw6_arx160_consecutive
171,ch_iw6_arx160_pointblank
172,ch_iw6_arx160_reload
173,ch_iw6_arx160_sliding
174,ch_iw6_arx160_leaning
175,ch_iw6_arx160_allcamo
176,ch_iw6_fads_crouch
177,ch_iw6_fads_assists
178,ch_iw6_fads_defender
179,ch_iw6_fads_noattach
180,ch_iw6_fads_longshot
181,ch_iw6_fads_consecutive
182,ch_iw6_fads_pointblank
183,ch_iw6_fads_reload
184,ch_iw6_fads_sliding
185,ch_iw6_fads_leaning
186,ch_iw6_fads_allcamo
187,ch_iw6_msbs_crouch
188,ch_iw6_msbs_assists
189,ch_iw6_msbs_defender
190,ch_iw6_msbs_noattach
191,ch_iw6_msbs_longshot
192,ch_iw6_msbs_consecutive
193,ch_iw6_msbs_pointblank
194,ch_iw6_msbs_reload
195,ch_iw6_msbs_sliding
196,ch_iw6_msbs_leaning
197,ch_iw6_msbs_allcamo
198,ch_iw6_r5rgp_crouch
199,ch_iw6_r5rgp_assists
200,ch_iw6_r5rgp_defender
201,ch_iw6_r5rgp_noattach
202,ch_iw6_r5rgp_longshot
203,ch_iw6_r5rgp_consecutive
204,ch_iw6_r5rgp_pointblank
205,ch_iw6_r5rgp_reload
206,ch_iw6_r5rgp_sliding
207,ch_iw6_r5rgp_leaning
208,ch_iw6_r5rgp_allcamo
209,ch_iw6_vks_crouch
210,ch_iw6_vks_noattach
211,ch_iw6_vks_defender
212,ch_iw6_vks_prone
213,ch_iw6_vks_oneshotkill
214,ch_iw6_vks_consecutive
215,ch_iw6_vks_pointblank
216,ch_iw6_vks_reload
217,ch_iw6_vks_penetrate
218,ch_iw6_vks_leaning
219,ch_iw6_vks_allcamo
220,ch_iw6_l115a3_crouch
221,ch_iw6_l115a3_noattach
222,ch_iw6_l115a3_defender
223,ch_iw6_l115a3_prone
224,ch_iw6_l115a3_oneshotkill
225,ch_iw6_l115a3_consecutive
226,ch_iw6_l115a3_pointblank
227,ch_iw6_l115a3_reload
228,ch_iw6_l115a3_penetrate
229,ch_iw6_l115a3_leaning
230,ch_iw6_l115a3_allcamo
231,ch_iw6_usr_crouch
232,ch_iw6_usr_noattach
233,ch_iw6_usr_defender
234,ch_iw6_usr_prone
235,ch_iw6_usr_oneshotkill
236,ch_iw6_usr_consecutive
237,ch_iw6_usr_pointblank
238,ch_iw6_usr_reload
239,ch_iw6_usr_penetrate
240,ch_iw6_usr_leaning
