0,mp_body_us_rangers_assault_a,CUSTOMIZE_BODY_RANGERS_A,viewhands_us_rangers,m,vestlight,0,0,,0,,
1,mp_body_us_rangers_lmg_a,CUSTOMIZE_BODY_RANGERS_L,viewhands_us_rangers,m,vestheavy,0,0,,0,,
2,mp_body_us_rangers_smg_a,CUSTOMIZE_BODY_RANGERS_S,viewhands_us_rangers,m,cloth,0,0,,0,,
3,mp_body_us_rangers_shotgun_a,CUSTOMIZE_BODY_RANGERS_SG,viewhands_us_rangers,m,vestlight,0,0,,0,,
4,mp_body_elite_pmc_assault_b,CUSTOMIZE_BODY_PMC_A,viewhands_elite_pmc,m,vestlight,0,0,,0,,
5,mp_body_elite_pmc_lmg_b,CUSTOMIZE_BODY_PMC_L,viewhands_elite_pmc,m,vestheavy,0,0,,0,,
6,mp_body_elite_pmc_smg_b,CUSTOMIZE_BODY_PMC_S,viewhands_elite_pmc,m,cloth,0,0,,0,,
7,mp_body_elite_pmc_shotgun_b,CUSTOMIZE_BODY_PMC_SG,viewhands_elite_pmc,m,vestlight,0,0,,0,,
8,mp_body_fed_army_assault_a,CUSTOMIZE_BODY_FED_A,viewhands_fed_army,m,vestlight,0,0,,0,,
9,mp_body_fed_army_lmg_a,CUSTOMIZE_BODY_FED_L,viewhands_fed_army,m,vestheavy,0,0,,0,,
10,mp_body_fed_army_smg_a,CUSTOMIZE_BODY_FED_S,viewhands_fed_army,m,cloth,0,0,,0,,
11,mp_body_fed_army_shotgun_a,CUSTOMIZE_BODY_FED_SG,viewhands_fed_army,m,vestlight,0,0,,0,,
12,mp_body_devgru_assault_a,CUSTOMIZE_BODY_GRU_A,viewhands_devgru,m,vestlight,0,0,,0,,
13,mp_body_devgru_lmg_a,CUSTOMIZE_BODY_GRU_L,viewhands_devgru,m,vestheavy,0,0,,0,,
14,mp_body_devgru_smg_a,CUSTOMIZE_BODY_GRU_S,viewhands_devgru,m,cloth,0,0,,0,,
15,mp_body_devgru_shotgun_a,CUSTOMIZE_BODY_GRU_SG,viewhands_devgru,m,vestlight,0,0,,0,,
16,mp_body_devgru_sniper_a,CUSTOMIZE_BODY_GRU_SP,viewhands_devgru,m,cloth,0,0,,0,,
17,mp_body_sniper_a,CUSTOMIZE_BODY_SNIPER_A,viewhands_devgru,m,cloth,0,0,,0,,
18,mp_body_fed_basic_assault_a,CUSTOMIZE_BODY_FBASIC_A,viewhands_fed_basic,m,vestlight,0,0,,0,,
19,mp_body_fed_basic_lmg_a,CUSTOMIZE_BODY_FBASIC_L,viewhands_fed_basic,m,vestheavy,0,0,,0,,
20,mp_body_fed_basic_smg_a,CUSTOMIZE_BODY_FBASIC_S,viewhands_fed_basic,m,cloth,0,0,,0,,
21,mp_body_fed_basic_shotgun_a,CUSTOMIZE_BODY_FBASIC_SG,viewhands_fed_basic,m,vestlight,0,0,,0,,
22,mp_body_female_us_rangers_assault_a,CUSTOMIZE_BODY_RANGERS_A,viewhands_us_rangers,f,vestlight,0,0,,0,,
23,mp_body_female_us_rangers_lmg_a,CUSTOMIZE_BODY_RANGERS_L,viewhands_us_rangers,f,vestheavy,0,0,,0,,
24,mp_body_female_us_rangers_smg_a,CUSTOMIZE_BODY_RANGERS_S,viewhands_us_rangers,f,cloth,0,0,,0,,
25,mp_body_female_us_rangers_shotgun_a,CUSTOMIZE_BODY_RANGERS_SG,viewhands_us_rangers,f,vestlight,0,0,,0,,
26,mp_body_female_elite_pmc_assault_b,CUSTOMIZE_BODY_PMC_A,viewhands_elite_pmc,f,vestlight,0,0,,0,,
27,mp_body_female_elite_pmc_lmg_b,CUSTOMIZE_BODY_PMC_L,viewhands_elite_pmc,f,vestheavy,0,0,,0,,
28,mp_body_female_elite_pmc_smg_b,CUSTOMIZE_BODY_PMC_S,viewhands_elite_pmc,f,cloth,0,0,,0,,
29,mp_body_female_elite_pmc_shotgun_b,CUSTOMIZE_BODY_PMC_SG,viewhands_elite_pmc,f,vestlight,0,0,,0,,
30,mp_body_female_fed_army_assault_a,CUSTOMIZE_BODY_FED_A,viewhands_fed_army,f,vestlight,0,0,,0,,
31,mp_body_female_fed_army_lmg_a,CUSTOMIZE_BODY_FED_L,viewhands_fed_army,f,vestheavy,0,0,,0,,
32,mp_body_female_fed_army_smg_a,CUSTOMIZE_BODY_FED_S,viewhands_fed_army,f,cloth,0,0,,0,,
33,mp_body_female_fed_army_shotgun_a,CUSTOMIZE_BODY_FED_SG,viewhands_fed_army,f,vestlight,0,0,,0,,
34,mp_body_female_devgru_assault_a,CUSTOMIZE_BODY_GRU_A,viewhands_devgru,f,vestlight,0,0,,0,,
35,mp_body_female_devgru_lmg_a,CUSTOMIZE_BODY_GRU_L,viewhands_devgru,f,vestheavy,0,0,,0,,
36,mp_body_female_devgru_smg_a,CUSTOMIZE_BODY_GRU_S,viewhands_devgru,f,cloth,0,0,,0,,
37,mp_body_female_devgru_shotgun_a,CUSTOMIZE_BODY_GRU_SG,viewhands_devgru,f,vestlight,0,0,,0,,
38,mp_body_female_devgru_sniper_a,CUSTOMIZE_BODY_GRU_SP,viewhands_devgru,f,cloth,0,0,,0,,
39,mp_body_female_sniper_a,CUSTOMIZE_BODY_SNIPER_A,viewhands_devgru,f,cloth,0,0,,0,,
40,mp_body_female_fed_basic_assault_a,CUSTOMIZE_BODY_FBASIC_A,viewhands_fed_basic,f,vestlight,0,0,,0,,
41,mp_body_female_fed_basic_lmg_a,CUSTOMIZE_BODY_FBASIC_L,viewhands_fed_basic,f,vestheavy,0,0,,0,,
42,mp_body_female_fed_basic_smg_a,CUSTOMIZE_BODY_FBASIC_S,viewhands_fed_basic,f,cloth,0,0,,0,,
43,mp_body_female_fed_basic_shotgun_a,CUSTOMIZE_BODY_FBASIC_SG,viewhands_fed_basic,f,vestlight,0,0,,0,,
44,mp_fullbody_sniper_aa,CUSTOMIZE_FULLBODY_SNIPER_HOOD,viewhands_sniper_ghillie,b,cloth,0,0,,0,,
45,mp_fullbody_sniper_ab,CUSTOMIZE_FULLBODY_SNIPER_FULL,viewhands_sniper_ghillie,b,cloth,0,0,,0,,
46,mp_body_udt_assault_a,CUSTOMIZE_BODY_UDT_A,viewhands_mp_udt,m,vestlight,0,0,,0,,
47,mp_body_udt_lmg_a,CUSTOMIZE_BODY_UDT_L,viewhands_mp_udt,m,vestheavy,0,0,,0,,
48,mp_body_udt_smg_a,CUSTOMIZE_BODY_UDT_S,viewhands_mp_udt,m,cloth,0,0,,0,,
49,mp_body_udt_shotgun_a,CUSTOMIZE_BODY_UDT_SG,viewhands_mp_udt,m,vestlight,0,0,,0,,
50,mp_body_female_udt_assault_a,CUSTOMIZE_BODY_UDT_A,viewhands_mp_udt,f,vestlight,0,0,,0,,
51,mp_body_female_udt_lmg_a,CUSTOMIZE_BODY_UDT_L,viewhands_mp_udt,f,vestheavy,0,0,,0,,
52,mp_body_female_udt_smg_a,CUSTOMIZE_BODY_UDT_S,viewhands_mp_udt,f,cloth,0,0,,0,,
