0,,CUSTOMIZE_NO_HELMET,0,0,0,,0
1,_helmet_a,CUSTOMIZE_HELMET_A,0,0,0,,0
2,_helmet_b,CUSTOMIZE_HELMET_B,0,0,0,,0
3,_helmet_b_alt,CUSTOMIZE_HELMET_B_ALT,0,0,0,,0
4,_helmet_c,CUSTOMIZE_HELMET_C,0,0,0,,0
5,_helmet_d,CUSTOMIZE_HELMET_D,0,0,0,,0
6,_helmet_d_alt,CUSTOMIZE_HELMET_D_ALT,0,0,0,,0
7,_helmet_e,CUSTOMIZE_HELMET_E,0,0,0,,0
8,_helmet_f,CUSTOMIZE_HELMET_F,0,0,0,,0
9,_helmet_g,CUSTOMIZE_HELMET_G,0,0,0,,0
10,_helmet_g_alt,CUSTOMIZE_HELMET_G_ALT,0,0,0,,0
11,_helmet_h,CUSTOMIZE_HELMET_H,0,0,0,,0
12,_helmet_h_alt,CUSTOMIZE_HELMET_H_ALT,0,0,0,,0
13,_helmet_i,CUSTOMIZE_HELMET_I,1,0,0,,0
14,_helmet_j,CUSTOMIZE_HELMET_J,1,0,0,,0
15,_helmet_k,CUSTOMIZE_HELMET_K,0,0,0,,0
16,_helmet_l,CUSTOMIZE_HELMET_L,1,0,0,,0
17,_helmet_m,CUSTOMIZE_HELMET_M,0,0,0,,0
18,_helmet_n,CUSTOMIZE_HELMET_N,0,0,0,,0
19,_helmet_n_alt,CUSTOMIZE_HELMET_N_ALT,0,0,0,,0
20,_helmet_n_alt_c,CUSTOMIZE_HELMET_N_ALT_C,0,0,0,,0
21,_helmet_o,CUSTOMIZE_HELMET_O,0,0,0,,0
22,_helmet_o_alt,CUSTOMIZE_HELMET_O_ALT,0,0,0,,0
23,_helmet_o_alt_c,CUSTOMIZE_HELMET_O_ALT_C,0,0,0,,0
24,_helmet_p,CUSTOMIZE_HELMET_P,0,0,0,,0
25,_helmet_p_alt,CUSTOMIZE_HELMET_P_ALT,0,0,0,,0
26,_helmet_p_alt_c,CUSTOMIZE_HELMET_P_ALT_C,0,0,0,,0
27,_helmet_q,CUSTOMIZE_HELMET_Q,0,0,0,,0
28,_helmet_q_alt,CUSTOMIZE_HELMET_Q_ALT,0,0,0,,0
29,_helmet_r,CUSTOMIZE_HELMET_R,0,0,0,,0
30,_helmet_r_alt,CUSTOMIZE_HELMET_R_ALT,0,0,0,,0
31,_helmet_s,CUSTOMIZE_HELMET_S,0,0,0,,0
32,_helmet_s_alt,CUSTOMIZE_HELMET_S_ALT,0,0,0,,0
33,_helmet_t,CUSTOMIZE_HELMET_T,1,0,0,,0
34,_helmet_u,CUSTOMIZE_HELMET_U,1,0,0,,0
35,_helmet_v,CUSTOMIZE_HELMET_V,1,0,0,,0
36,_helmet_w,CUSTOMIZE_HELMET_W,1,0,0,,0
37,_helmet_x,CUSTOMIZE_HELMET_X,1,0,0,,0
