0,weapon_specialist_upgrade,LUA_MENU_MP_UPGRADE_SPECIALIST,LUA_MENU_MP_UPGRADE_SPECIALIST_DESC,15,2,LUA_MENU_MP_UPGRADE_SPECIALIST_DESC_PC
1,tank_upgrade,LUA_MENU_MP_UPGRADE_TANK,LUA_MENU_MP_UPGRADE_TANK_DESC,15,2,LUA_MENU_MP_UPGRADE_TANK_DESC_PC
2,engineer_upgrade,LUA_MENU_MP_UPGRADE_ENGINEER,LUA_MENU_MP_UPGRADE_ENGINEER_DESC,15,2,LUA_MENU_MP_UPGRADE_ENGINEER_DESC_PC
3,medic_upgrade,LUA_MENU_MP_UPGRADE_MEDIC,LUA_MENU_MP_UPGRADE_MEDIC_DESC,15,2,LUA_MENU_MP_UPGRADE_MEDIC_DESC_PC
4,free_skill_points_upgrade,LUA_MENU_MP_UPGRADE_FREE_SKILL_POINTS,LUA_MENU_MP_UPGRADE_FREE_SKILL_POINTS_DESC,20,0,
5,faster_health_regen_upgrade,LUA_MENU_MP_UPGRADE_FAST_HEALTH_REGEN,LUA_MENU_MP_UPGRADE_FAST_HEALTH_REGEN_DESC,5,0,
6,damage_booster_upgrade,LUA_MENU_MP_UPGRADE_DAMAGE_BOOSTER,LUA_MENU_MP_UPGRADE_DAMAGE_BOOSTER_DESC,10,0,
7,sentry_health_upgrade,LUA_MENU_MP_UPGRADE_SENTRY_HEALTH,LUA_MENU_MP_UPGRADE_SENTRY_HEALTH_DESC,5,0,
8,stun_armor_upgrade,LUA_MENU_MP_UPGRADE_STUN_ARMOR,LUA_MENU_MP_UPGRADE_STUN_ARMOR_DESC,10,0,
9,armor_piercing_upgrade,LUA_MENU_MP_UPGRADE_ARMOR_PIERCING,LUA_MENU_MP_UPGRADE_ARMOR_PIERCING_DESC,5,0,
10,hypno_rhino_upgrade,LUA_MENU_MP_UPGRADE_HYPNO_RHINO,LUA_MENU_MP_UPGRADE_HYPNO_RHINO_DESC,50,0,
11,riotshield_back_upgrade,LUA_MENU_MP_UPGRADE_RIOTSHIELD,LUA_MENU_MP_UPGRADE_RIOTSHIELD_DESC,20,0,
12,faster_revive_upgrade,LUA_MENU_MP_UPGRADE_FAST_REVIVE,LUA_MENU_MP_UPGRADE_FAST_REVIVE_DESC,10,0,
13,locker_key_upgrade,LUA_MENU_MP_UPGRADE_LOCKER_KEY,LUA_MENU_MP_UPGRADE_LOCKER_KEY_DESC,40,0,
14,incendiary_ammo_upgrade,LUA_MENU_MP_UPGRADE_INCENDIARY_AMMO,LUA_MENU_MP_UPGRADE_INCENDIARY_AMMO_DESC,5,0,
15,minion_protection_upgrade,LUA_MENU_MP_UPGRADE_MINION_PROTECTION,LUA_MENU_MP_UPGRADE_MINION_PROTECTION_DESC,5,0,
16,ims_fire_upgrade,LUA_MENU_MP_UPGRADE_IMS_FIRE,LUA_MENU_MP_UPGRADE_IMS_FIRE_DESC,10,3,
17,ims_gracetime_upgrade,LUA_MENU_MP_UPGRADE_IMS_GRACE,LUA_MENU_MP_UPGRADE_IMS_GRACE_DESC,5,3,
18,keep_attachments_upgrade,LUA_MENU_MP_UPGRADE_KEEP_ATTACHMENTS,LUA_MENU_MP_UPGRADE_KEEP_ATTACHMENTS_DESC,10,3,
19,magnum_acog_upgrade,LUA_MENU_MP_UPGRADE_MAGNUM_ACOG,LUA_MENU_MP_UPGRADE_MAGNUM_ACOG_DESC,2,3,
20,no_snare_upgrade,LUA_MENU_MP_UPGRADE_NO_SNARE,LUA_MENU_MP_UPGRADE_NO_SNARE_DESC,10,3,
21,ark_pistol_upgrade,LUA_MENU_MP_UPGRADE_ARK_PISTOL,LUA_MENU_MP_UPGRADE_ARK_PISTOL_DESC,125,4,
22,vulture_duration_upgrade,LUA_MENU_MP_UPGRADE_VULTURE,LUA_MENU_MP_UPGRADE_VULTURE_DESC,50,4,
23,cooldown_skills_upgrade,LUA_MENU_MP_UPGRADE_SKILLS_COOLDOWN_UPGRADE,LUA_MENU_MP_UPGRADE_SKILLS_COOLDOWN_UPGRADE_DESC,200,4,
24,master_scavenger_upgrade,LUA_MENU_MP_UPGRADE_MASTER_SCAVENGER,LUA_MENU_MP_UPGRADE_MASTER_SCAVENGER_DESC,200,4,
25,multi_class,LUA_MENU_MP_UPGRADE_MULTICLASS,LUA_MENU_MP_UPGRADE_MULTICLASS_DESC,1000,4,
26,combined_ammo_upgrade,LUA_MENU_MP_UPGRADE_COMBINED_AMMO,LUA_MENU_MP_UPGRADE_COMBINED_AMMO_DESC,500,4,
27,stun_ammo_upgrade,LUA_MENU_MP_UPGRADE_STUN_AMMO,LUA_MENU_MP_UPGRADE_STUN_AMMO_DESC,50,4,
28,less_flinch_upgrade,LUA_MENU_MP_UPGRADE_LESS_FLINCH,LUA_MENU_MP_UPGRADE_LESS_FLINCH_DESC,25,0,
29,shock_melee_upgrade,LUA_MENU_MP_UPGRADE_SHOCK_MELEE,LUA_MENU_MP_UPGRADE_SHOCK_MELEE_DESC,30,0,
30,sniper_soft_upgrade,LUA_MENU_MP_UPGRADE_SNIPER_SOFT,LUA_MENU_MP_UPGRADE_SNIPER_SOFT_DESC,40,0,
31,more_cash_upgrade,LUA_MENU_MP_UPGRADE_MORE_CASH,LUA_MENU_MP_UPGRADE_MORE_CASH_DESC,20,0,
